Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Ro KhannaDemocratHouseCA,Adobe IncADBE:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$591.03
Ro KhannaDemocratHouseCA,DuPont  De Nemours IncDD:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$76.18
Ro KhannaDemocratHouseCA,General Motors CoGM:US,7 Feb2024,30 Jan2024,days6,Spouse,sell,15K–50K,$38.15
Ro KhannaDemocratHouseCA,Arthur J. Gallagher & CoAJG:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$230.15
Ro KhannaDemocratHouseCA,Lennar CorpLEN:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$153.35
Ro KhannaDemocratHouseCA,Marriott International IncMAR:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$226.77
Ro KhannaDemocratHouseCA,Carter's Inc.CRI:US,7 Feb2024,16 Jan2024,days20,Spouse,sell,15K–50K,$72.76
Ro KhannaDemocratHouseCA,Aon PLCAON:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$299.30
Ro KhannaDemocratHouseCA,Pool CorpPOOL:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$389.85
Ro KhannaDemocratHouseCA,Welltower IncWELL:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$90.73
Ro KhannaDemocratHouseCA,ANSYS IncANSS:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,15K–50K,$354.86
Ro KhannaDemocratHouseCA,DoorDash IncDASH:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$105.59
Ro KhannaDemocratHouseCA,Baxter International IncBAX:US,7 Feb2024,8 Jan2024,days28,Spouse,sell,1K–15K,$40.67
Ro KhannaDemocratHouseCA,Zoetis IncZTS:US,7 Feb2024,20 Jan2024,days16,Spouse,sell,1K–15K,N/A
Ro KhannaDemocratHouseCA,Elanco Animal Health IncELAN:US,7 Feb2024,9 Jan2024,days27,Spouse,sell,1K–15K,$15.41
Ro KhannaDemocratHouseCA,Carter's Inc.CRI:US,7 Feb2024,24 Jan2024,days12,Spouse,sell,1K–15K,$73.47
Ro KhannaDemocratHouseCA,Carter's Inc.CRI:US,7 Feb2024,25 Jan2024,days11,Spouse,sell,1K–15K,$74.84
Ro KhannaDemocratHouseCA,Carter's Inc.CRI:US,7 Feb2024,17 Jan2024,days19,Spouse,sell,1K–15K,$72.64
Ro KhannaDemocratHouseCA,Carter's Inc.CRI:US,7 Feb2024,17 Jan2024,days19,Spouse,sell,1K–15K,$72.64
Ro KhannaDemocratHouseCA,Las Vegas Sands CorpLVS:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$49.29
Ro KhannaDemocratHouseCA,General Motors CoGM:US,7 Feb2024,19 Jan2024,days17,Spouse,sell,1K–15K,$35.51
Ro KhannaDemocratHouseCA,General Motors CoGM:US,7 Feb2024,29 Jan2024,days7,Spouse,sell,1K–15K,$35.39
Ro KhannaDemocratHouseCA,Altria Group IncMO:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$41.06
Ro KhannaDemocratHouseCA,Jabil IncJBL:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$129.52
Ro KhannaDemocratHouseCA,Elanco Animal Health IncELAN:US,7 Feb2024,12 Jan2024,days24,Spouse,sell,1K–15K,$15.55
Ro KhannaDemocratHouseCA,Paycom Software IncPAYC:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$202.00
Ro KhannaDemocratHouseCA,NVIDIA CorporationNVDA:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$543.50
Ro KhannaDemocratHouseCA,General Motors CoGM:US,7 Feb2024,12 Jan2024,days24,Spouse,sell,1K–15K,$35.26
Ro KhannaDemocratHouseCA,Exelixis IncEXEL:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$22.86
Ro KhannaDemocratHouseCA,The Mosaic CompanyMOS:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$33.67
Ro KhannaDemocratHouseCA,General Motors CoGM:US,7 Feb2024,26 Jan2024,days10,Spouse,sell,1K–15K,$35.18
Ro KhannaDemocratHouseCA,BP PLCBP:US,7 Feb2024,12 Jan2024,days24,Spouse,sell,1K–15K,$34.86
Ro KhannaDemocratHouseCA,UNITY SOFTWARE INCU:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$37.13
Ro KhannaDemocratHouseCA,Lowe's Cos IncLOW:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$220.21
Ro KhannaDemocratHouseCA,Broadcom IncAVGO:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,"$1,080.57"
Ro KhannaDemocratHouseCA,The Chemours CoCC:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$30.46
Ro KhannaDemocratHouseCA,Parker-Hannifin CorpPH:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$460.78
Ro KhannaDemocratHouseCA,Guidewire Software IncGWRE:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$110.05
Ro KhannaDemocratHouseCA,Ventas IncVTR:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$48.65
Ro KhannaDemocratHouseCA,Wynn Resorts LtdWYNN:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$93.63
